gender	age	class	embarked	country	fare	sibsp	parch	target
0	42.0	0	0	1.0	7.11	0.0	0.0	0
0	13.0	0	0	1.0	20.05	0.0	2.0	0
0	16.0	0	0	1.0	20.05	1.0	1.0	0
1	39.0	0	0	0.0	20.05	1.0	1.0	1
1	16.0	0	0	8.0	7.13	0.0	0.0	1
0	25.0	0	0	1.0	7.13	0.0	0.0	1
0	30.0	1	1	9.0	24.0	1.0	0.0	0
0	28.0	1	1	9.0	24.0	1.0	0.0	1
0	27.0	0	1	4.0	18.1509	0.0	0.0	1
0	20.0	0	0	5.0	7.1806	0.0	0.0	1
0	30.0	0	0	3.0	7.05	0.0	0.0	0
0	27.0	0	0	0.0	8.01	0.0	0.0	0
1	40.0	0	0	3.0	9.0906	1.0	0.0	0
0	0.8333333333	0	0	0.0	9.07	0.0	1.0	1
1	18.0	0	0	0.0	9.07	0.0	1.0	1
0	35.0	1	0	0.0	13.0	0.0	0.0	0
0	25.0	0	0	0.0	7.1709	0.0	0.0	0
0	19.0		0	5.0	7.1806	0.0	0.0	0
0	24.0	0	0	13.0	7.01	0.0	0.0	0
	25.0	0	0	13.0	7.01	0.0	0.0	0
1	29.0	2	0	1.0	211.6009	0.0	0.0	1
0	39.0	0	0	0.0	8.01	0.0	0.0	0
0	0.9166666667	2	0	7.0	151.16	1.0	2.0	1
1	2.0	2	0	7.0	151.16	1.0	2.0	0
0	30.0	2	0	7.0	151.16	1.0	2.0	0
1	25.0	2	0	1.0	151.16	1.0	2.0	0
0	18.0	0	0	0.0	8.06	0.0	0.0	0
0	19.0	0	1	4.0	7.0407	0.0	0.0	0
1	19.0	0	0	13.0	7.1701	1.0	0.0	1
0	33.0	0	0	8.0	22.1006	0.0	0.0	0
0	47.0	2	0	1.0	26.11	0.0	0.0	1
0	4.0	0	0	3.0	31.0506	4.0	2.0	0
1	6.0	0	0	3.0	31.0506	4.0	2.0	0
1	2.0	0	0	3.0	31.0506	4.0	2.0	0
1	16.0	0	0	5.0	7.1806	4.0	2.0	1
1	38.0	0	0	3.0	7.1506	4.0	2.0	0
1	9.0	0	0	3.0	31.0506	4.0	2.0	0
1	11.0	0	0	3.0	31.0506	4.0	2.0	0
0	39.0	0	0	3.0	31.0506	1.0	5.0	0
0	26.0	0	0	3.0	7.1506	0.0	0.0	0
1	39.0	0	0	3.0	31.0506	1.0	5.0	0
0	20.0	0	0	3.0	7.1701	0.0	0.0	0
0	17.0	1	0	13.0	11.1	0.0	0.0	0
0	27.0	1	0	0.0	10.1	0.0	0.0	0
1	62.0	2	1	1.0	77.1902	1.0	0.0	1
0	39.0	2	2	11.0		0.0	0.0	0
0	26.0	0	0	13.0	7.1711	0.0	0.0	0
1	36.0	1	0	0.0	26.0	1.0	0.0	1
0	31.0	1	0	0.0	26.0	1.0	0.0	0
1	53.0	2	0	1.0	51.0907	2.0	0.0	1
0	25.0	0	0	13.0	17.16	1.0	0.0	0
1	18.0	0	0	13.0	17.16	1.0	0.0	0
0	25.0	0	0	3.0	7.1506	0.0	0.0	0
0	71.0	2	1	13.0	49.1001	0.0	0.0	0
0	57.0	1	0	0.0	13.0	0.0	0.0	0
0	35.0	0	0	13.0	7.01	0.0	0.0	0
0	5.0	0	0	3.0	31.0709	4.0	2.0	0
0	9.0	0	0	3.0	31.0709	4.0	2.0	0
0	3.0	0	0	3.0	31.0709	4.0	2.0	1
0	13.0	0	0	3.0	31.0709	4.0	2.0	0
1	5.0	0	0	3.0	31.0709	4.0	2.0	1
0	40.0	0	0	3.0	31.0709	1.0	5.0	0
0	23.0	0	0	3.0	7.1511	0.0	0.0	1
1	38.0	0	0	3.0	31.0709	1.0	5.0	1
1	45.0	0	1	4.0	7.0406	0.0	0.0	1
0	23.0	0	0	13.0	7.01	0.0	0.0	0
0	47.0	2	1	1.0	247.1006	1.0	0.0	0
1	18.0	2	1	1.0	247.1006	1.0	0.0	1
1	17.0	0	1	4.0	14.0902	0.0	0.0	0
0	27.0	0	1	7.0	7.0406	0.0	0.0	0
1	24.0	2	1	9.0	69.06	0.0	0.0	1
0	23.0	0	0	3.0	7.1701	0.0	0.0	0
